data_set_id	probe_id	probe_name	gene_id	gene_acronym
574	103392	RP_Baylor_103392	87964	Ntm
575	102849	RP_Baylor_102849	15180	Hoxa9
583	102852	RP_Baylor_102852	15326	Htr1b
584	102852	RP_Baylor_102852	15326	Htr1b
592	253929	RP_Baylor_253929	47899	Igsf5
596	102863	RP_Baylor_102863	16165	Isl1
597	102863	RP_Baylor_102863	16165	Isl1
598	102864	RP_Baylor_102864	16173	Itga3
599	102864	RP_Baylor_102864	16173	Itga3
600	6857	RP_040315_01_10	16199	Itih3
601	6857	RP_040315_01_10	16199	Itih3
606	7103	RP_040507_01_C09	16251	Jund
607	7103	RP_040507_01_C09	16251	Jund
609	102872	RP_Baylor_102872	16295	Kcnj6
610	102872	RP_Baylor_102872	16295	Kcnj6
616	6886	RP_040324_01_B12	17080	Kitl
617	6886	RP_040324_01_B12	17080	Kitl
620	102880	RP_Baylor_102880	16500	L1cam
621	102880	RP_Baylor_102880	16500	L1cam
632	102881	RP_Baylor_102881	16613	Lef1
633	102882	RP_Baylor_102882	16640	Lhx1
634	102882	RP_Baylor_102882	16640	Lhx1
635	102887	RP_Baylor_102887	16645	Lhx6
636	102887	RP_Baylor_102887	16645	Lhx6
640	102890	RP_Baylor_102890	16656	Limk1
649	102894	RP_Baylor_102894	16726	Lpl
653	102895	RP_Baylor_102895	16743	Lrp5
667	102903	RP_Baylor_102903	17029	Mef2c
668	102903	RP_Baylor_102903	17029	Mef2c
670	102908	RP_Baylor_102908	17125	Marcksl1
671	102908	RP_Baylor_102908	17125	Marcksl1
682	102923	RP_Baylor_102923	17735	Ncam2
683	102923	RP_Baylor_102923	17735	Ncam2
686	103014	RP_Baylor_103014	19948	Ncor1
687	103014	RP_Baylor_103014	19948	Ncor1
698	102638	RP_Baylor_102638	11708	Neurod6
699	102638	RP_Baylor_102638	11708	Neurod6
700	102927	RP_Baylor_102927	17791	Nfe2l2
705	7316	RP_040526_02_D01	17820	Ngfr
717	103333	RP_Baylor_103333	73806	Npy
718	103333	RP_Baylor_103333	73806	Npy
720	102760	RP_Baylor_102760	13643	Nr2f1
721	102760	RP_Baylor_102760	13643	Nr2f1
727	102829	RP_Baylor_102829	14591	Nr3c1
728	102829	RP_Baylor_102829	14591	Nr3c1
730	103336	RP_Baylor_103336	74939	Nr3c2
731	103336	RP_Baylor_103336	74939	Nr3c2
732	102939	RP_Baylor_102939	17994	Nr4a2
733	102939	RP_Baylor_102939	17994	Nr4a2
734	103151	RP_Baylor_103151	26171	Nr5a1
735	103151	RP_Baylor_103151	26171	Nr5a1
736	69135824	RP_050330_01_A03	40644	Nrgn
737	69135824	RP_050330_01_A03	40644	Nrgn
739	103407	RP_Baylor_103407	92612	Nrip1
740	103407	RP_Baylor_103407	92612	Nrip1
741	102937	RP_Baylor_102937	17955	Nrtn
742	102937	RP_Baylor_102937	17955	Nrtn
746	253946	RP_Baylor_253946	17979	Ntrk2
747	253946	RP_Baylor_253946	17979	Ntrk2
752	103145	RP_Baylor_103145	23716	Tenm3
753	103145	RP_Baylor_103145	23716	Tenm3
756	102941	RP_Baylor_102941	18059	Sebox
757	102941	RP_Baylor_102941	18059	Sebox
764	253956	RP_Baylor_253956	18274	Pax6
766	102945	RP_Baylor_102945	18275	Pax7
767	102945	RP_Baylor_102945	18275	Pax7
770	103306	RP_Baylor_103306	60376	Pcdhga12
771	103306	RP_Baylor_103306	60376	Pcdhga12
772	102947	RP_Baylor_102947	18312	Pcp4
776	102947	RP_Baylor_102947	18312	Pcp4
782	102949	RP_Baylor_102949	18339	Pde1a
783	102949	RP_Baylor_102949	18339	Pde1a
791	7148	RP_040507_01_H06	18392	Per1
792	7148	RP_040507_01_H06	18392	Per1
793	102956	RP_Baylor_102956	18393	Per2
820	103204	RP_Baylor_103204	34001	Plxnc1
821	103204	RP_Baylor_103204	34001	Plxnc1
851	102986	RP_Baylor_102986	18978	Ptgds
852	102986	RP_Baylor_102986	18978	Ptgds
858	102988	RP_Baylor_102988	19036	Ptpru
859	102988	RP_Baylor_102988	19036	Ptpru
868	253963	RP_Baylor_253963	19056	Pvalb
869	253963	RP_Baylor_253963	19056	Pvalb
890	103002	RP_Baylor_103002	19462	Reln
891	103002	RP_Baylor_103002	19462	Reln
892	103002	RP_Baylor_103002	19462	Reln
900	7113	RP_040507_01_D08	19646	Rora
917	103013	RP_Baylor_103013	19946	Rxrg
918	103013	RP_Baylor_103013	19946	Rxrg
923	103018	RP_Baylor_103018	19966	S100b
924	103018	RP_Baylor_103018	19966	S100b
927	7040	RP_040420_01_H08	19993	Satb1
932	253967	RP_Baylor_253967	20001	Atxn1
933	253967	RP_Baylor_253967	20001	Atxn1
934	103021	RP_Baylor_103021	20017	Scg2
935	103021	RP_Baylor_103021	20017	Scg2
937	253968	RP_Baylor_253968	20109	Sema3a
938	253968	RP_Baylor_253968	20109	Sema3a
939	103026	RP_Baylor_103026	20111	Sema3c
940	103026	RP_Baylor_103026	20111	Sema3c
