12159	11945
195333	83328
18823	18587
13653	13431
20513	20275
20465	20228
231986	87350
104384	68549
16871	16642
13392	13171
17968	17735
228839	86790
18854	18617
15430	15205
230777	87114
18507	18273
20319	20082
237761	88370
14176	13953
13489	13268
16728	16500
320873	107808
15395	15170
21406	21167
24113	23864
17172	16941
14427	14203
214105	84627
17134	16904
110006	74163
18736	18500
14634	14410
56321	35601
105349	69514
15171	14947
105440	69605
211151	84269
15403	15178
380684	119884
11858	11645
17127	16897
20393	20156
278672	93453
107889	72051
20475	20237
19013	18776
14465	14241
19049	18812
12561	12346
320865	107800
21923	21680
26424	26172
209448	84109
14633	14409
50914	30398
13131	12911
16001	15774
13661	13439
58869	37432
22215	21972
76206	52047
97998	62168
26941	26686
54422	33713
18208	17975
15564	15339
20231	19994
15465	15240
11908	11695
269437	92752
18092	17859
11601	11388
67923	43766
12355	12140
15424	15199
17201	16970
12627	12412
224024	86028
12819	12602
219150	85487
18516	18282
58226	37256
16006	15779
11998	11784
93735	60387
67451	43294
104080	68246
217944	85296
14417	14193
16526	16299
60611	38070
22409	22166
20338	20101
245583	89412
260298	92072
11419	11208
170571	81891
23872	23625
237213	88304
432530	129123
22326	22083
12260	12045
235106	87964
12387	12172
16971	16741
16876	16647
74318	50159
14406	14182
20525	20287
13047	12828
20264	20027
20312	20075
54612	33903
14106	13883
235682	88115
72040	47881
18119	17886
20850	20612
21405	21166
93875	60524
433436	130020
74016	49857
59024	37587
66340	42183
22774	22531
22411	22168
21420	21181
18027	17794
19744	19507
16392	16165
672284	159922
110075	74232
18183	17950
19354	19117
21990	21747
64213	40846
219257	85500
16322	16095
17932	17699
80883	56653
12728	12512
12484	12269
12822	12605
17928	17695
170460	81782
12326	12111
12614	12399
17130	16900
20606	20368
107934	72096
12951	12734
21808	21567
18390	18157
58198	37230
20254	20017
16177	15950
69716	45557
12554	12339
12814	12597
68273	44115
20347	20110
15567	15342
20604	20366
16012	15785
15394	15169
110391	74548
71468	47309
12921	12704
20562	20324
13179	12959
268902	92611
11477	11265
242705	88998
20677	20439
14806	14582
13388	13167
23934	23686
64580	41177
109593	73751
13544	13323
14403	14179
12611	12396
14813	14589
17292	17061
110312	74469
13713	13491
18131	17898
12931	12714
54485	33776
107522	71687
16848	16619
433022	129609
74342	50183
53945	33240
22408	22165
18997	18760
268934	92621
22066	21823
15563	15338
24088	23839
170738	82041
243743	89119
12426	12211
74769	50610
17765	17532
57014	36293
20893	20655
72135	47976
105501	69666
319504	106439
17286	17055
20511	20273
68911	44753
11298	11134
26564	26311
11906	11693
26414	26162
17188	16957
13638	13416
242202	88926
74238	50079
71137	46978
22282	22039
26556	26303
14617	14393
67824	43667
384670	121534
14368	14144
12509	12294
228598	86747
211323	84285
13796	13574
12294	12079
65945	41788
16009	15782
14814	14590
58802	37365
67087	42930
11911	11698
12592	12377
16842	16613
11682	11469
664799	153829
22340	22097
13162	12942
94352	60979
64085	40718
13543	13322
13844	13622
12862	12645
20689	20451
16826	16597
17294	17063
20608	20370
12552	12337
66596	42439
18046	17813
14357	14133
57737	37009
239096	88525
26419	26167
16409	16182
14371	14147
15401	15176
13875	13653
269116	92672
13492	13271
16324	16097
