row_num,gene_id,ensembl_gene_id,gene_symbol,entrez_id
10584,35406,"ENSG00000187372","PCDHB13",56123
10585,11018,"ENSG00000061337","LZTS1",11178
10586,6091,"ENSG00000140986","RPL3L",6123
10587,123571,"","FAM75D3",389762
10588,476,"ENSG00000075673","ATP12A",479
10589,3465,"ENSG00000115457","IGFBP2",3485
10590,59112,"ENSG00000179943","FIZ1",84922
10591,33729,"ENSG00000145990","GFOD1",54438
10592,23034,"ENSG00000030066","NUP160",23279
10593,34871,"ENSG00000165115","KIF27",55582
10594,10524,"ENSG00000104671","DCTN6",10671
10595,6154,"ENSG00000140988","RPS2",6187
10596,35405,"ENSG00000120327","PCDHB14",56122
10597,34484,"ENSG00000100557","C14orf105",55195
10598,123572,"ENSG00000214929","FAM75D1",389763
10599,50,"ENSG00000134575","ACP2",53
10600,33951,"ENSG00000146001","PCDHB18",54660
10601,35446,"ENSG00000132972","RNF17",56163
10602,8954,"ENSG00000162595","DIRAS3",9077
10603,1533,"ENSG00000140505","CYP1A2",1544
10604,35100,"ENSG00000143199","ADCY10",55811
10605,59861,"ENSG00000183798","EMILIN3",90187
10606,27040,"ENSG00000154553","PDLIM3",27295
10607,22739,"ENSG00000148843","PDCD11",22984
10608,56117,"","PPP1R2P9",80316
10609,80905,"ENSG00000115593","SMYD1",150572
10610,9990,"ENSG00000105835","NAMPT",10135
10611,326,"ENSG00000110330","BIRC2",329
10612,80648,"ENSG00000179922","ZNF784",147808
10613,31218,"ENSG00000157017","GHRL",51738
10614,76649,"ENSG00000166734","CASC4",113201
10615,1434,"ENSG00000103653","CSK",1445
10616,34529,"ENSG00000115107","STEAP3",55240
10617,110641,"ENSG00000214946","TBC1D26",353149
10618,78976,"ENSG00000196408","NOXO1",124056
10619,4581,"ENSG00000134571","MYBPC3",4607
10620,2776,"ENSG00000167083","GNGT2",2793
10621,55773,"ENSG00000116729","WLS",79971
10622,214,"ENSG00000111275","ALDH2",217
10623,35404,"ENSG00000113248","PCDHB15",56121
10624,329,"ENSG00000089685","BIRC5",332
10625,81543,"ENSG00000173868","PHOSPHO1",162466
10626,3161,"ENSG00000122566","HNRNPA2B1",3181
10627,58477,"ENSG00000165118","C9orf64",84267
10628,58392,"ENSG00000124177","CHD6",84181
10629,22968,"ENSG00000137573","SULF1",23213
10630,34547,"ENSG00000144115","THNSL2",55258
10631,57719,"ENSG00000129932","DOHH",83475
10632,81691,"ENSG00000164287","CDC20B",166979
10633,109345,"ENSG00000185792","NLRP9",338321
10634,22590,"ENSG00000198740","ZNF652",22834
10635,6360,"ENSG00000157020","SEC13",6396
10636,79264,"ENSG00000179178","TMEM125",128218
10637,3491,"ENSG00000132465","IGJ",3512
10638,59977,"ENSG00000167962","ZNF598",90850
10639,28794,"ENSG00000089063","TMEM230",29058
10640,123000,"","ZNF788",388507
10641,8408,"ENSG00000154556","SORBS2",8470
10642,3170,"ENSG00000165119","HNRNPK",3190
10643,35382,"ENSG00000240764","PCDHGC5",56097
10644,4232,"ENSG00000008394","MGST1",4257
10645,58892,"ENSG00000135355","GJA10",84694
10646,9494,"ENSG00000149557","FEZ1",9638
10647,34507,"ENSG00000081177","EXD2",55218
10648,83768,"ENSG00000179873","NLRP11",204801
10649,25623,"ENSG00000143158","BRP44",25874
10650,7032,"ENSG00000066056","TIE1",7075
10651,79131,"ENSG00000161091","MFSD12",126321
10652,55551,"ENSG00000140506","LMAN1L",79748
10653,6648,"ENSG00000066336","SPI1",6688
10654,5079,"ENSG00000132646","PCNA",5111
10655,1610,"ENSG00000155368","DBI",1622
10656,10135,"ENSG00000184029","DSCR4",10281
10657,10088,"ENSG00000128606","LRRC17",10234
10658,82990,"ENSG00000198794","SCAMP5",192683
10659,35446,"ENSG00000132972","RNF17",56163
10660,8484,"ENSG00000089022","MAPKAPK5",8550
10661,10872,"ENSG00000157110","RBPMS",11030
10662,81449,"ENSG00000169800","RBMY1F",159163
10663,30976,"ENSG00000137770","CTDSPL2",51496
10664,4104,"ENSG00000069535","MAOB",4129
10665,7651,"ENSG00000196646","ZNF136",7695
10666,9025,"ENSG00000107954","NEURL",9148
10667,1040,"ENSG00000131264","CDX4",1046
10668,5010,"ENSG00000151846","PABPC3",5042
10669,2909,"ENSG00000132463","GRSF1",2926
10670,4882,"ENSG00000065057","NTHL1",4913
10671,34623,"ENSG00000029364","SLC39A9",55334
10672,80089,"ENSG00000171227","TMEM37",140738
10673,488,"ENSG00000157087","ATP2B2",491
10674,564,"ENSG00000166710","B2M",567
10675,9850,"","CASP8AP2",9994
10676,4894,"ENSG00000070081","NUCB2",4925
10677,5670,"ENSG00000165916","PSMC3",5702
10678,79114,"ENSG00000173572","NLRP13",126204
10679,10924,"ENSG00000164283","ESM1",11082
10680,80435,"ENSG00000139971","C14orf37",145407
10681,81679,"ENSG00000170390","DCLK2",166614
